Bucket,Slot_1_percent,Slot_2_percent,Slot_3_percent,Slot_4_percent,Slot_5_percent,Slot_6_percent,Slot_7_percent,Slot_8_percent,Slot_9_percent,Slot_10_percent
A,9.13,28.99,9.56,9.65,12.92,8.25,4.83,2.28,0.72,0.12
B,4.53,0.35,3.20,1.28,0.63,0.48,0.01,0.00,0.00,0.00
C,7.35,0.36,5.56,2.41,1.27,1.53,0.54,0.22,0.01,0.00
D,6.64,1.24,2.94,3.41,2.64,1.96,1.64,0.22,0.02,0.00
E,4.45,13.03,6.25,11.60,12.39,8.76,3.69,1.94,1.42,0.74
F,1.24,0.04,0.79,0.71,0.17,0.52,0.01,0.00,0.00,0.00
G,2.90,0.08,1.63,1.77,0.59,0.13,0.12,0.04,0.00,0.00
H,2.06,5.49,2.19,6.09,2.78,2.28,1.01,0.31,1.01,0.00
I,1.07,10.92,6.72,11.85,8.77,3.74,2.76,0.64,0.08,0.01
J,12.63,0.02,0.12,0.53,0.05,0.03,0.01,0.00,0.00,0.00
K,5.39,0.11,0.73,1.56,0.65,0.09,0.29,0.08,0.06,0.00
L,5.29,4.87,7.56,6.83,5.94,4.16,3.77,0.36,0.09,0.01
M,9.74,1.66,4.75,2.13,0.73,0.47,0.89,0.04,0.01,0.00
N,2.53,2.87,11.15,10.05,8.71,8.59,4.61,2.05,0.55,0.06
O,0.69,12.61,2.53,4.10,3.86,1.97,1.61,0.39,0.29,0.02
P,2.66,0.14,0.31,0.71,0.68,0.11,0.16,0.58,0.00,0.00
Q,0.10,0.00,0.07,0.23,0.07,0.01,0.03,0.00,0.00,0.00
R,6.20,6.68,14.27,7.41,5.13,4.56,0.66,0.88,0.26,0.04
S,6.90,1.21,5.81,3.26,5.20,2.36,1.23,0.41,0.05,0.02
T,4.24,1.50,4.91,4.61,3.30,3.94,0.88,0.99,0.08,0.01
U,0.06,4.60,2.05,1.11,0.92,0.21,0.14,0.07,0.01,0.00
V,1.34,0.74,2.42,1.35,0.11,0.08,0.01,0.02,0.00,0.00
W,1.71,0.18,0.71,0.26,0.02,0.45,0.48,0.01,0.00,0.00
X,0.12,0.02,0.31,0.69,0.04,0.02,0.01,0.00,0.00,0.00
Y,0.49,2.15,2.94,2.71,5.06,2.42,2.62,0.69,0.02,0.00
Z,0.54,0.11,0.34,0.59,0.06,0.13,0.09,0.02,0.01,0.00
Blank,0,0,0,3,17,43,68,88,95,99
Other,0,0,0,0,0,0,0,0,0,0